Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Afghanistan,0,0,0,0,0,0,0,0,0,0,0,0,3.997356895,3.742615415,3.183605163,2.821647877,3.035308153,2.564660336,3.131792739,2.980926154,2.839831475,3.28066945,3.32473427,3.625784145,4.11864648,4.695809353,5.30199414,5.164296796,5.398313267
Albania,5.67399311,8.321517778,10.87131536,5.930910538,4.184052548,3.188779704,2.300256924,2.944411794,2.702312841,2.518586606,2.436532923,1.805155645,1.770900585,1.448812471,1.139925286,0.991048812,0.885784005,0.743632193,0.595434295,0.641801449,0.671589504,0.681883486,0.681827576,0.673125689,0.686415267,0.791263862,0.800087627,0.772675642,0.64963271
Andorra,0.41786175,0.388462279,0.355367891,0.436930235,0.432411556,0.390247547,0.40034467,0.431984735,0.445569407,0.459723279,0.412861923,0.381401524,0.341703156,0.258285583,0.221076785,0.208867007,0.185161499,0.161918712,0.156646566,0.168734593,0.18261045,0.165325519,0.188158027,0.184738453,0.177272007,0.207894978,0.203681511,0.196654818,0.183325689
Argentina,2.045177305,1.544,1.300262009,1.266962025,1.188132296,1.185775194,1.175772059,1.100136519,1.090802676,1.169859155,1.165985915,1.384572491,3.779010109,3.055,2.463272727,2.064924623,1.82583691,1.523680556,1.223701657,1.273483483,1.01370283,0.774792453,0.75978022,0.769384058,0.801825095,0.71994958,0.71016129,0.617546584,0.763513514
Armenia,10.82930663,12.11973825,11.74781144,7.300344317,4.744674648,4.665204017,3.619356615,3.897547745,3.33205466,3.14281008,3.217261404,2.954965691,2.495439355,2.262152472,1.887259195,1.524343599,1.237381139,0.929797901,0.781166884,0.927388837,0.850945738,0.818370034,0.874820606,0.829027414,0.790730847,0.869866983,0.904596789,0.808504316,0.754538757
Australia,1.79488746,1.717323077,1.724,1.794807692,1.74863354,1.556376022,1.427525,1.338574713,1.524010025,1.654498715,1.595108434,1.761164021,1.67278481,1.252467811,1.038398693,0.863549784,0.867171582,0.757866354,0.587704762,0.682974138,0.522730435,0.460528571,0.414916129,0.35143038,0.385176871,0.419607407,0.477123967,0.468481203,0.433048951
Austria,0.378253012,0.385,0.313846154,0.321684211,0.300098039,0.264273859,0.28443038,0.311737089,0.304495413,0.297511521,0.328730964,0.387766497,0.364741784,0.315916031,0.277707641,0.264651899,0.241994048,0.201079692,0.180906977,0.177075,0.195280612,0.171044084,0.172371638,0.165232558,0.152217195,0.17908377,0.173055556,0.169568345,0.149120879
Azerbaijan,8.486108464,9.575352278,12.10894737,17.27292999,18.72393838,19.65950483,17.42687258,13.99286008,12.6597641,12.35471555,11.13488763,10.3018361,9.578475216,7.89305898,6.764688284,4.73436087,3.133014478,1.948542515,1.473415385,1.645914358,1.458904651,1.20497406,1.157225105,1.081111168,1.067987955,1.491868849,2.11183627,1.923624737,1.663025021
Bahamas,0.644346178,0.687846334,0.900611129,0.766494179,0.705737956,0.688247302,0.63729565,0.331629914,0.383420993,0.335768304,0.312017503,0.288536794,0.288250634,0.285228222,0.276081716,0.239930054,0.230150729,0.224140497,0.235607068,0.639153032,0.239704589,0.280027208,0.373116926,0.33401461,0.269988121,0.235679885,0.217965377,0.208955463,0.203500204
Bahrain,3.324044266,2.980791612,3.321361397,3.205605278,3.076755371,3.070364785,3.169524612,3.201976995,3.585187734,3.452645248,2.650366088,2.76843306,2.71225008,2.444284881,2.081343564,1.907478715,1.77684006,1.566037736,1.416908547,1.613464475,1.513615268,1.378203327,1.32946079,1.344828375,1.374757244,1.512046211,1.462697034,1.351420813,1.300046478
Bangladesh,3.641330383,3.722524743,3.694233917,3.568357551,3.577281327,3.31736514,2.721665068,2.666843039,2.569993641,2.581793031,2.520901933,2.587639606,2.61365739,2.404796793,2.246095373,2.173150982,2.17797265,1.997942814,1.826450566,1.677058824,1.552173913,1.424496124,1.408496241,1.272333333,1.130751445,1.048820513,0.928778281,0.85672,0.805656934
Barbados,1.550594515,1.558955463,1.732243229,1.570267952,1.543220707,1.520089931,1.429994531,1.396902885,1.281467173,1.236524339,1.176662853,1.201505975,1.197489136,1.162174794,1.08288576,0.987040189,0.908120925,0.823705605,0.871473354,1.569813011,0.880794702,0.878153516,1.00867679,0.842420355,0.800596189,0.799575822,0.788819876,0.747288067,0.745109604
Belarus,4.820323326,5.516666667,5.016717391,4.464715736,3.994769853,3.697215687,3.551571891,3.739982444,3.347126371,4.010384645,3.618632181,4.301964689,3.56373253,2.974008336,2.451570057,1.903165501,1.641486369,1.311912792,1.04569384,1.192552324,1.140460667,1.149166789,1.105273451,0.969441999,0.920269841,1.20592189,1.304202298,1.165064256,1.110754588
Belgium,0.618585366,0.624454976,0.552510638,0.567377778,0.542938776,0.462465278,0.496594982,0.535019763,0.533320463,0.520426357,0.569067797,0.572489451,0.499610895,0.415709779,0.353252033,0.327694301,0.302720588,0.252851064,0.235300971,0.237255717,0.252474012,0.20998088,0.220221774,0.211685824,0.194560748,0.236277056,0.232184874,0.215526839,0.200202206
Belize,32.03211404,30.15375379,26.3006014,24.4704798,23.75772492,20.49535879,18.00793846,16.15431482,13.93338926,11.51825316,8.929751818,4.813727184,4.637587157,4.595831215,3.909259523,3.856449344,3.536751642,3.507392262,3.270803271,4.129659151,3.340110369,4.942497262,4.557095016,4.394073699,4.083473659,4.060795916,3.813869641,3.724273113,3.644719966
Benin,10.36242865,10.28977569,12.12753753,9.091876656,13.1220298,9.596118407,9.376919426,9.888456021,9.592306283,6.346493543,6.709863263,4.946741044,4.56566914,3.563621815,3.092645133,3.096704557,2.999489308,2.688073992,2.22603446,2.309376727,2.411029882,2.172383858,2.084126372,1.911670787,1.844250604,2.208433837,2.269676834,2.126494216,1.973196808
Bhutan,-18.21291441,-21.63603282,-21.61133129,-23.16787095,-20.01465538,-17.55465833,-16.71824033,-14.20902847,-13.76821849,-12.24239045,-12.20362363,-11.35564481,-10.00288851,-8.691449212,-7.735993322,-6.386945074,-5.840067438,-4.305369624,-4.202608776,-4.165267804,-3.223532291,0.270102777,0.348064063,0.38150212,0.38802557,0.384308588,0.46781521,0.452993751,0.474075739
