Year,Country,GHG-emissions,KGCO2 / GDP(per Million US Dollar)
1990,China,2873.71,7.960415512
1991,China,3023.38,7.893942559
1992,China,3154.54,7.387681499
1993,China,3377.79,7.590539326
1994,China,3528.81,6.256755319
1995,China,3918.3,5.331020408
1996,China,3954.75,4.577256944
1997,China,3963.61,4.120176715
1998,China,4103.23,3.983718447
1999,China,4053.37,3.718688073
2000,China,4249.7,3.51214876
2001,China,4459.91,3.328291045
2002,China,4769.03,3.244238095
2003,China,5386.89,3.245114458
2004,China,6135.95,3.130586735
2005,China,6862.81,2.996860262
2006,China,7547.54,2.74456
2007,China,8165.43,2.300121127
2008,China,8455.65,1.842189542
2009,China,9046.19,1.773762745
2010,China,9872.37,1.621078818
2011,China,10364.83,1.372825166
2012,China,10690.04,1.253228605
2013,China,11144.76,1.164551724
2014,China,11155.76,1.062453333
2015,China,11149.68,1.004475676
2016,China,11207.66,1.000683929
2017,China,11408.26,0.927500813
2018,China,11705.81,0.842144604
1990,United States,5543.47,0.930112416
1991,United States,5501.92,0.893168831
1992,United States,5583.8,0.856411043
1993,United States,5691.26,0.829629738
1994,United States,5782.2,0.793168724
1995,United States,5843.9,0.764908377
1996,United States,6010.62,0.744810409
1997,United States,6258.47,0.729425408
1998,United States,6293.8,0.694679912
1999,United States,6291.25,0.653296989
2000,United States,6446.2,0.62584466
2001,United States,6406.04,0.604343396
2002,United States,6246.95,0.573114679
2003,United States,6306.12,0.548358261
2004,United States,6387.22,0.523542623
2005,United States,6401.12,0.492393846
2006,United States,6306.81,0.457015217
2007,United States,6397.67,0.441218621
2008,United States,6220.21,0.423143537
2009,United States,5793.66,0.4023375
2010,United States,6041.59,0.402772667
2011,United States,5796.78,0.373985806
2012,United States,5550.87,0.342646296
2013,United States,5690.79,0.3387375
2014,United States,5711.15,0.326351429
2015,United States,5586.69,0.306960989
2016,United States,5676.92,0.30357861
2017,United States,5613.64,0.287878974
2018,United States,5794.35,0.281279126
1990,India,1009.44,3.144672897
1991,India,1064.49,3.942555556
1992,India,1096.71,3.808020833
1993,India,1128.44,4.044587814
1994,India,1174.78,3.592599388
1995,India,1240.44,3.445666667
1996,India,1289.63,3.281501272
1997,India,1348.09,3.240600962
1998,India,1382.26,3.28327791
1999,India,1460.24,3.181350763
2000,India,1498.2,3.201282051
2001,India,1747.49,3.603072165
2002,India,1769.79,3.436485437
2003,India,1817.42,2.989177632
2004,India,1905.13,2.687066291
2005,India,1977.76,2.411902439
2006,India,2073.67,2.206031915
2007,India,2219.62,1.819360656
2008,India,2317.48,1.931233333
2009,India,2467.78,1.841626866
2010,India,2576.93,1.533886905
2011,India,2610.32,1.434241758
2012,India,2758.53,1.507393443
2013,India,2816.49,1.514241935
2014,India,2988.34,1.464872549
2015,India,3002.17,1.429604762
2016,India,3073.24,1.342026201
2017,India,3202.82,1.208611321
2018,India,3346.63,1.234918819
1990,Russia,2885.12,5.580502901
1991,Russia,2788.7,5.383590734
1992,Russia,2551.94,5.547695652
1993,Russia,2294.62,5.274988506
1994,Russia,2011.47,5.092329114
1995,Russia,1930.88,4.875959596
